EC_No;TA_Taux01;RT_Base01;RT_Montant01;JO_Num;EC_Date;CT_Num;JO_Type
568119;19.0;2912.331;553.343;03;2024-07-08;4110000321;1
568123;19.0;481.192;91.427;03;2024-07-08;4110000301;1
568148;19.0;2013.753;382.61;03;2024-07-08;4110000048;1
568164;19.0;1898.739;360.762;03;2024-07-09;4110000256;1
568168;19.0;-208.629;-39.64;03;2024-07-09;4110000256;1
568173;19.0;-136.548;-25.944;03;2024-07-09;4110000213;1
568178;19.0;-417.258;-79.279;03;2024-07-09;4110000408;1
568181;19.0;-83.452;-15.856;03;2024-07-09;4110000423;1
568196;19.0;-61.765;-11.735;03;2024-07-09;4110001437;1
568268;19.0;1786.903;339.512;03;2024-07-09;4110000408;1
568272;19.0;618.947;117.6;03;2024-07-09;4110000423;1
568285;19.0;-723.61;-137.486;03;2024-07-09;4110001757;1
568332;19.0;12542.04;2383.157;01;2024-07-09;4104;0
568422;19.0;2372.671;450.808;03;2024-07-09;4110000213;1
568456;19.0;3114.931;591.837;03;2024-07-09;4110000213;1
568470;19.0;19857.606;3772.945;01;2024-07-09;3038;0
568575;19.0;9327.799;1771.201;01;2024-07-09;1364;0
568579;19.0;22187.466;4215.707;01;2024-07-09;1343;0
568608;19.0;36778.752;6988.963;01;2024-07-09;4104;0
568612;19.0;38458.163;7308.051;01;2024-07-09;4104;0
568616;19.0;6271.02;1192.494;01;2024-07-09;4104;0
568623;19.0;45981.601;8737.418;01;2024-07-09;4104;0
568627;19.0;12542.076;2383.121;01;2024-07-09;4104;0
568713;19.0;152573.652;28993.204;02;2024-07-09;4104;2
568728;19.0;7175.905;1363.422;03;2024-07-10;4110000022;1
568757;19.0;-13.77;-2.616;03;2024-07-10;4110000407;1
568775;19.0;1763.84;335.13;03;2024-07-10;4110002470;1
568779;19.0;2110.342;400.966;03;2024-07-10;4110000080;1
568912;19.0;1071.461;203.577;03;2024-07-10;4110000052;1
568985;19.0;-8298.867;-1576.785;03;2024-07-10;4110001684;1
568994;19.0;4062.162;771.81;03;2024-07-10;4110000407;1
569164;19.0;4943.312;939.231;03;2024-07-10;4110001839;1
569302;19.0;2394.956;455.042;03;2024-07-11;4110000362;1
569338;19.0;861.766;163.735;03;2024-07-11;4110000117;1
569378;19.0;2962.2;562.818;03;2024-07-11;4110000092;1
569386;19.0;2435.257;462.698;03;2024-07-11;4110000439;1
569390;19.0;-417.258;-79.279;03;2024-07-11;4110000439;1
569420;19.0;1048.603;199.236;03;2024-07-11;4110000308;1
569529;19.0;19857.606;3772.945;02;2024-07-09;3038;2
569555;19.0;22033.058;4186.588;01;2024-07-11;1343;0
569559;19.0;13991.699;2657.301;01;2024-07-11;1364;0
569563;19.0;13991.699;2657.301;01;2024-07-11;1364;0
569605;19.0;55.947;10.63;03;2024-07-11;4110000440;1
569608;19.0;60.48;11.491;03;2024-07-11;4110000440;1
569846;19.0;23461.2;4457.628;01;2024-07-12;5207;0
569855;19.0;3818.895;725.591;03;2024-07-12;4110000025;1
569859;19.0;3339.902;634.581;03;2024-07-12;4110000255;1
569890;19.0;23461.2;4457.628;02;2024-07-11;5207;2
569931;19.0;2082.429;395.66;03;2024-07-12;4110000959;1
569941;19.0;3152.942;599.059;03;2024-07-12;4110000526;1
569961;19.0;13463.149;2557.998;03;2024-07-12;4110000022;1
570012;19.0;593.894;112.839;03;2024-07-12;4110000541;1
570031;19.0;21388.818;4063.875;03;2024-07-12;4110000022;1
570152;19.0;4191.383;796.362;03;2024-07-12;4110000121;1
570222;19.0;3776.9;717.6;01;2024-07-13;1345;0
570226;19.0;13991.699;2657.301;01;2024-07-13;1364;0
570235;19.0;13991.699;2657.301;01;2024-07-13;1364;0
570259;19.0;-2017.393;-383.305;03;2024-07-13;4110000439;1
570270;19.0;2024.412;384.638;03;2024-07-13;4110000022;1
570340;19.0;851.59;161.8;03;2024-07-15;4110000551;1
570348;19.0;2786.388;529.413;03;2024-07-15;4110000036;1
570463;19.0;53.866;10.235;03;2024-07-15;4110000440;1
570466;19.0;16.998;3.23;03;2024-07-15;4110000440;1
570547;19.0;917.655;174.354;03;2024-07-15;4110000301;1
570555;19.0;-438.655;-83.344;03;2024-07-15;4110000301;1
570586;19.0;1928.432;366.403;03;2024-07-15;4110001416;1
570590;19.0;810.543;154.003;03;2024-07-15;4110000463;1
570632;19.0;2403.365;456.639;03;2024-07-15;4110000056;1
570671;19.0;4299.452;816.895;03;2024-07-15;4110000203;1
570733;19.0;1089.054;206.92;03;2024-07-16;4110000403;1
