DO_Piece;DR_Montant;DR_Regle;DR_ModeReg
MF2300077;0.0;0;2
MF2300111;0.0;0;1
MF2300112;0.0;0;1
MF2300113;0.0;0;2
MF2300114;0.0;0;1
AM2300030;0.0;0;1
AM2300031;0.0;0;1
AM2300032;0.0;0;1
7;0.0;0;1
64;0.0;0;1
65;0.0;0;1
8;0.0;0;1
90;0.0;0;1
4538;0.0;0;1
4541;0.0;0;1
4542;0.0;0;1
128;0.0;0;1
164;0.0;0;1
156;0.0;0;1
159;0.0;0;1
193;0.0;0;1
247;0.0;0;1
248;0.0;0;1
181;0.0;0;1
93;0.0;0;1
116;0.0;0;1
148;0.0;0;1
162;0.0;0;1
155;0.0;0;1
187;0.0;0;1
183;0.0;0;1
295;0.0;0;1
161;0.0;0;1
4583;0.0;0;1
198;0.0;0;1
206;0.0;0;1
294;0.0;0;1
MF2300115;0.0;0;1
MF2300126;0.0;0;1
AM2300026;0.0;0;1
AM2300033;0.0;0;1
MF2300122;0.0;0;1
MF2300117;0.0;0;1
MF2300119;0.0;0;2
MF2300120;0.0;0;1
MF2300121;0.0;0;2
MF2300123;0.0;0;1
MF2300124;0.0;0;2
MF2300125;0.0;0;2
MF2300130;0.0;0;1
MF2300131;0.0;0;1
MF2300134;0.0;0;1
MF2300132;0.0;0;2
MF2300133;0.0;0;1
AM2300036;0.0;0;1
MF2300129;0.0;0;1
MF2300127;0.0;0;1
MF2300128;0.0;0;1
MF2300136;0.0;0;2
MF2300137;0.0;0;2
MF2300135;0.0;0;2
MF2300140;0.0;0;1
MF2300143;0.0;0;2
MF2300138;0.0;0;1
MF2300139;0.0;0;2
MF2300142;0.0;0;1
AM2300037;0.0;0;1
AM2300039;0.0;0;1
AM2300001;0.0;0;1
MF2300141;0.0;0;1
MF2300144;0.0;0;2
MF2300145;0.0;0;2
MF2300148;0.0;0;2
MF2300146;0.0;0;1
MF2300147;0.0;0;1
MF2300150;0.0;0;1
MF2300157;0.0;0;1
MF2300154;0.0;0;2
MF2300149;0.0;0;2
MF2300151;0.0;0;2
MF2300153;0.0;0;1
AM2300028;0.0;0;1
MF2300152;0.0;0;1
MF2300161;0.0;0;2
MF2300155;0.0;0;1
MF2300156;0.0;0;1
MF2300158;0.0;0;1
MF2300159;0.0;0;1
MF2300164;0.0;0;1
MF2300166;0.0;0;2
AM2300038;0.0;0;1
AM2300040;0.0;0;1
AM2300041;0.0;0;1
AM2300043;0.0;0;1
AM2300044;0.0;0;1
AM2300045;0.0;0;1
MF2300160;0.0;0;1
MF2300162;0.0;0;2
MF2300163;0.0;0;1
MF2300170;0.0;0;1
AM2300042;0.0;0;1
AM2300046;0.0;0;1
MF2300167;0.0;0;1
MF2300168;0.0;0;1
MF2300165;0.0;0;1
MF2300169;0.0;0;2
MF2300171;0.0;0;1
MF2300172;0.0;0;1
MF2300173;0.0;0;2
MF2300174;0.0;0;2
MF2300178;0.0;0;2
MF2300177;0.0;0;1
MF2300175;0.0;0;2
MF2300176;0.0;0;2
AM2300047;0.0;0;1
MF2300193;0.0;0;1
MF2300179;0.0;0;1
MF2300180;0.0;0;1
MF2300181;0.0;0;2
MF2300182;0.0;0;2
MF2300183;0.0;0;2
MF2300184;0.0;0;1
MF2300185;0.0;0;1
MF2300186;0.0;0;1
MF2300187;0.0;0;2
MF2300188;0.0;0;1
MF2300189;0.0;0;2
MF2300190;0.0;0;2
MF2300191;0.0;0;1
