RT_Num;CT_Num;DO_Type;DO_Piece;RT_Date;RT_Mode;RT_Montant;RT_Etat;BQ_Num
RF00004178;4082;0;AM250001939;2025-10-22 00:00:00;5;1313.721;2;
RF00004179;FLE0016;0;66095714;2025-10-24 00:00:00;1;1999.434;2;
RF00004180;FEX856;17;FV25090132;2025-10-24 00:00:00;2;117.351;2;AMEN BK 2
RF00004181;1366;17;AM250002047;2025-10-24 00:00:00;3;31170.687;2;AMEN BK 2
RF00004182;1366;17;AM250002047;2025-10-24 12:07:00;5;314.855;2;
RF00004183;1178;0;AM250002039;2025-10-25 00:00:00;3;130828.893;2;AMEN BK 2
RF00004184;1178;0;AM250002102;2025-10-25 00:00:00;5;657.431;2;
RF00004185;1351;0;AM250002066;2025-10-27 00:00:00;3;70000.0;2;QNB TUNSIA
RF00004186;1179;0;AM2600000079;2025-10-27 00:00:00;3;68244.092;1;AMEN BK 2
RF00004187;1343;17;AM250002083;2025-10-27 00:00:00;3;33551.807;2;AMEN BK 2
RF00004188;1343;17;AM250002083;2025-10-27 14:25:00;5;338.907;2;
RF00004189;1080;0;AM250000452;2025-10-27 00:00:00;3;1280557.583;2;AMEN BK 2
RF00004190;1080;0;AM250000748;2025-10-27 00:00:00;5;12934.925;2;
RF00004194;0763;17;21931;2025-10-27 00:00:00;2;2170.43;2;AMEN BK 2
RF00004195;0763;17;21931;2025-10-27 00:00:00;5;21.923;2;
RF00004196;1032;0;AM250001973;2025-10-27 00:00:00;3;209507.257;2;QNB TUNSIA
RF00004197;1032;0;AM250001984;2025-10-27 00:00:00;5;2116.234;2;
RF00004198;1375;0;AM250002080;2025-10-30 00:00:00;3;105723.505;1;AMEN BK 2
RF00004199;1375;0;AM250002190;2025-10-30 00:00:00;5;1067.914;2;
RF00004200;1049;0;AM250002135;2025-10-30 00:00:00;3;14083.391;2;AMEN BK 2
RF00004201;1049;0;AM250002191;2025-10-30 00:00:00;5;142.256;2;
RF00004202;FEXC012;0;25FV0030;2025-10-31 00:00:00;4;5609.898;2;AMEN BK 2
RF00004203;FEXC012;0;25FV0030;2025-10-31 00:00:00;5;173.502;2;
