CT_Num;CT_Sommeil;CT_Encours;CT_SvCA
0015;1;0.0;0.0
01235;1;0.0;0.0
01236;1;0.0;0.0
01237;1;0.0;0.0
5001;1;0.0;0.0
FEX573;1;0.0;0.0
FL0001;1;0.0;0.0
FL0002;1;0.0;0.0
FL0003;1;0.0;0.0
FL0004;1;0.0;0.0
FL0005;1;0.0;0.0
FL0006;1;0.0;0.0
FL0007;1;0.0;0.0
FL0008;0;0.0;0.0
FL0009;1;0.0;0.0
FL0010;1;0.0;0.0
FL0011;1;0.0;0.0
FL0012;1;0.0;0.0
FL0013;1;0.0;0.0
FL0014;1;0.0;0.0
FL0015;1;0.0;0.0
FL0016;1;0.0;0.0
FL0017;1;0.0;0.0
FL0018;1;0.0;0.0
FL0019;1;0.0;0.0
FL002;1;0.0;0.0
FL0020;1;0.0;0.0
FL0021;1;0.0;0.0
FL0022;1;0.0;0.0
FL0023;0;0.0;0.0
FL0024;1;0.0;0.0
FL0025;1;0.0;0.0
FL0026;1;0.0;0.0
FL0027;1;0.0;0.0
FL0028;1;0.0;0.0
FL0029;1;0.0;0.0
FL0030;1;0.0;0.0
FL0031;1;0.0;0.0
FL0032;1;0.0;0.0
FL0035;1;0.0;0.0
FL0037;1;0.0;0.0
FL0038;1;0.0;0.0
FL0039;1;0.0;0.0
FL0040;1;0.0;0.0
FL0041;1;0.0;0.0
FL0042;1;0.0;0.0
FL0044;1;0.0;0.0
FL0045;1;0.0;0.0
FL0046;1;0.0;0.0
FL0047;1;0.0;0.0
FL0051;1;0.0;0.0
FL0053;1;0.0;0.0
FL0054;1;0.0;0.0
FL0055;1;0.0;0.0
FL0056;1;0.0;0.0
FL0057;1;0.0;0.0
FL0069;0;0.0;0.0
FL036;1;0.0;0.0
FL037;1;0.0;0.0
FL042;1;0.0;0.0
FL043;1;0.0;0.0
FL044;1;0.0;0.0
FL045;1;0.0;0.0
FL046;1;0.0;0.0
FL047;1;0.0;0.0
FL048;1;0.0;0.0
FL049;1;0.0;0.0
FL050;1;0.0;0.0
FL051;1;0.0;0.0
FL052;1;0.0;0.0
FL053;1;0.0;0.0
FL054;1;0.0;0.0
FL055;1;0.0;0.0
FL056;1;0.0;0.0
FL057;1;0.0;0.0
FL058;1;0.0;0.0
FL059;0;0.0;0.0
FL060;1;0.0;0.0
FL061;1;0.0;0.0
FL063;1;0.0;0.0
FL064;1;0.0;0.0
FL065;1;0.0;0.0
FL067;1;0.0;0.0
FL068;1;0.0;0.0
FL069;1;0.0;0.0
FL070;1;0.0;0.0
FL071;1;0.0;0.0
FLO62;1;0.0;0.0
FLO64;1;0.0;0.0
FLO66;1;0.0;0.0
FLO67;1;0.0;0.0
FLO68;1;0.0;0.0
FM001;1;0.0;0.0
1032;0;0.0;0.0
FR0001;0;0.0;0.0
FR0002;0;0.0;0.0
FR0003;0;0.0;0.0
FEX027;0;0.0;0.0
FR0004;0;0.0;0.0
TR001;0;0.0;0.0
FR0005;0;0.0;0.0
TR002;0;0.0;0.0
4045;0;0.0;0.0
4002;0;0.0;0.0
FLE0016;0;0.0;0.0
1080;0;0.0;0.0
1289;0;0.0;0.0
1024;0;0.0;0.0
1046;0;0.0;0.0
1026;0;0.0;0.0
1020;0;0.0;0.0
0285;0;0.0;0.0
FEX7893;0;0.0;0.0
FEX523;0;0.0;0.0
1296;0;0.0;0.0
1294;0;0.0;0.0
0569;0;0.0;0.0
0362;0;0.0;0.0
7856;0;0.0;0.0
FL0070;0;0.0;0.0
4008;0;0.0;0.0
4046;0;0.0;0.0
FEX125;0;0.0;0.0
FEX126;0;0.0;0.0
FEX127;0;0.0;0.0
FEX588;0;0.0;0.0
1300;0;0.0;0.0
TR003;0;0.0;0.0
3005;0;0.0;0.0
2352;0;0.0;0.0
893;0;0.0;0.0
1302;0;0.0;0.0
1303;0;0.0;0.0
0986;0;0.0;0.0
3007;0;0.0;0.0
3022;0;0.0;0.0
1298;0;0.0;0.0
1013;0;0.0;0.0
00231;0;0.0;0.0
0036;0;0.0;0.0
00423;0;0.0;0.0
00436;0;0.0;0.0
00789;0;0.0;0.0
00983;0;0.0;0.0
01256;0;0.0;0.0
01258;0;0.0;0.0
01268;0;0.0;0.0
0152;0;0.0;0.0
0153;0;0.0;0.0
0223;0;0.0;0.0
0369;0;0.0;0.0
0568;0;0.0;0.0
0693;0;0.0;0.0
0763;0;0.0;0.0
0823;0;0.0;0.0
1;0;0.0;0.0
1001;0;0.0;0.0
1002;0;0.0;0.0
1003;0;0.0;0.0
1004;0;0.0;0.0
1005;0;0.0;0.0
1006;0;0.0;0.0
1007;0;0.0;0.0
1008;0;0.0;0.0
1009;0;0.0;0.0
1010;0;0.0;0.0
1011;0;0.0;0.0
1012;0;0.0;0.0
1014;0;0.0;0.0
1015;0;0.0;0.0
1016;0;0.0;0.0
1017;0;0.0;0.0
1018;0;0.0;0.0
1019;0;0.0;0.0
1021;0;0.0;0.0
1022;0;0.0;0.0
1023;0;0.0;0.0
1025;0;0.0;0.0
1027;0;0.0;0.0
1028;0;0.0;0.0
1029;0;0.0;0.0
1030;0;0.0;0.0
1031;0;0.0;0.0
1033;0;0.0;0.0
1034;0;0.0;0.0
1035;0;0.0;0.0
1036;0;0.0;0.0
1037;0;0.0;0.0
