MC_Numero;MC_Date;MC_TypeMvt;MC_Debit;MC_Credit;MC_Cloture;CA_No;CA_Type;CA_Solde;CA_SoldeEspece;CA_SoldeCheque;JO_Num
MC2512010019;2025-12-01;41;0.0;10.2;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2512010020;2025-12-01;29;0.0;120.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2512010021;2025-12-01;46;0.0;29.5;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2512010022;2025-12-01;41;0.0;2.2;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2512010023;2025-12-01;29;0.0;200.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2512010024;2025-12-01;29;0.0;500.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2512010025;2025-12-01;29;0.0;200.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2512010026;2025-12-01;29;0.0;250.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2512010027;2025-12-01;35;0.0;87.6;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2512010028;2025-12-01;2;9707.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010029;2025-12-01;8;0.0;9707.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010030;2025-12-01;8;0.0;93430.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010031;2025-12-01;34;0.0;25.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2512010032;2025-12-01;2;300.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010033;2025-12-01;49;0.0;300.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2512010034;2025-12-01;2;660.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010035;2025-12-01;2;4340.0;0.0;0;CAISSE TK;2;727791.782;727791.782;0.0;TK1
MC2512010036;2025-12-01;2;5431.9;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010037;2025-12-01;2;1999.979;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010038;2025-12-01;8;0.0;5600.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010039;2025-12-01;2;2800.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010040;2025-12-01;2;2800.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2512010041;2025-12-01;2;1530.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
