MC_Numero;MC_Date;MC_TypeMvt;MC_Debit;MC_Credit;MC_Cloture;CA_No;CA_Type;CA_Solde;CA_SoldeEspece;CA_SoldeCheque;JO_Num
MC2511240047;2025-11-24;8;0.0;104400.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511240048;2025-11-24;33;0.0;30.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511240049;2025-11-24;41;0.0;12.4;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511240050;2025-11-24;25;0.0;250.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511240051;2025-11-24;29;0.0;400.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511240052;2025-11-24;29;0.0;350.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511240053;2025-11-24;21;0.0;102.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511240054;2025-11-24;34;0.0;12.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511250001;2025-11-25;2;3225.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511250002;2025-11-25;2;4461.66;0.0;0;CAISSE TK;2;727791.782;727791.782;0.0;TK1
MC2511250003;2025-11-25;41;0.0;12.4;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511250004;2025-11-25;41;0.0;12.4;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511250005;2025-11-25;34;0.0;6.8;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511250006;2025-11-25;21;0.0;200.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511250007;2025-11-25;29;0.0;240.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2511250008;2025-11-25;8;0.0;6885.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511250009;2025-11-25;2;5.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511250010;2025-11-25;29;0.0;350.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511250011;2025-11-25;29;0.0;200.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511250012;2025-11-25;2;3000.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511250013;2025-11-25;8;0.0;3000.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511250014;2025-11-25;2;14790.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511250015;2025-11-25;2;1548.645;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511250016;2025-11-25;2;6001.557;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511250017;2025-11-25;2;2800.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511250018;2025-11-25;2;45.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511250019;2025-11-25;2;7353.5;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511250020;2025-11-25;8;0.0;7135.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511250021;2025-11-25;29;0.0;100.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511250022;2025-11-25;34;0.0;118.5;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511250023;2025-11-25;34;0.0;13.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511250024;2025-11-25;2;9750.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511250025;2025-11-25;2;8000.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511250026;2025-11-25;8;0.0;8000.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511250027;2025-11-25;21;0.0;200.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511250028;2025-11-25;29;0.0;40.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2511250029;2025-11-25;29;0.0;80.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2511250030;2025-11-25;2;41153.252;0.0;0;CAISSE TK;2;727791.782;727791.782;0.0;TK1
MC2511250031;2025-11-25;33;0.0;400.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511240055;2025-11-24;29;0.0;80.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2511260001;2025-11-26;34;0.0;92.3;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511260002;2025-11-26;34;0.0;1180.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511260003;2025-11-26;29;0.0;600.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511260004;2025-11-26;29;0.0;160.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2511260005;2025-11-26;8;0.0;22445.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260006;2025-11-26;29;0.0;250.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511260007;2025-11-26;2;73.168;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260008;2025-11-26;2;1500.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260009;2025-11-26;2;4500.0;0.0;0;CAISSE TK;2;727791.782;727791.782;0.0;TK1
MC2511260010;2025-11-26;2;500.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260011;2025-11-26;8;0.0;500.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260012;2025-11-26;2;2000.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260013;2025-11-26;2;26050.9;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260014;2025-11-26;29;0.0;300.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511260015;2025-11-26;41;0.0;6.6;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511260016;2025-11-26;41;0.0;14.1;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511260017;2025-11-26;41;0.0;13.2;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511260018;2025-11-26;33;0.0;150.0;0;CAISSE DP;0;35767.175;35767.175;0.0;07
MC2511260019;2025-11-26;2;1772.801;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260020;2025-11-26;2;3080.277;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260021;2025-11-26;29;0.0;40.0;0;CAISSE CARBURANT ;0;1680.0;1680.0;0.0;33
MC2511260022;2025-11-26;2;888.858;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260023;2025-11-26;2;2000.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260024;2025-11-26;2;4638.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260025;2025-11-26;2;5000.0;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260026;2025-11-26;8;0.0;5000.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260027;2025-11-26;8;0.0;4638.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260028;2025-11-26;8;0.0;2000.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260029;2025-11-26;2;1014.779;0.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
MC2511260030;2025-11-26;8;0.0;450.0;0;CAISSE RC ;1;2280727.034;2295348.425;-14621.391;05
