DO_Domaine;DO_Type;DO_Piece;DO_Date
4;44;BD204386;2022-02-17
4;44;BD204387;2022-02-17
0;7;MFR0000001530;2022-02-17
0;7;MF00000008464;2022-02-18
0;7;MF00000008465;2022-02-18
4;44;BD204388;2022-02-18
0;7;MF00000008466;2022-02-18
4;44;BD204389;2022-02-18
0;7;MF00000008467;2022-02-18
0;7;MF00000008468;2022-02-18
0;7;MF00000008469;2022-02-18
0;7;MF00000008470;2022-02-18
0;7;MF00000008471;2022-02-18
4;44;BD204390;2022-02-18
0;7;MFR0000001531;2022-02-18
0;7;MF00000008472;2022-02-18
0;7;MF00000008473;2022-02-18
0;7;MF00000008474;2022-02-18
4;44;BD204391;2022-02-18
0;7;MFR0000001532;2022-02-18
0;7;MF00000008475;2022-02-18
4;44;BD204392;2022-02-18
4;44;BD204393;2022-02-18
0;7;MFR0000001533;2022-02-18
0;7;MFR0000001534;2022-02-18
1;17;AM00000001843;2022-02-18
1;17;AM00000001844;2022-02-18
0;7;MF00000008476;2022-02-18
0;7;MF00000008477;2022-02-18
0;7;MF00000008478;2022-02-18
0;7;MF00000008479;2022-02-18
0;7;MF00000008480;2022-02-18
0;7;MF00000008481;2022-02-18
0;7;MF00000008482;2022-02-18
0;7;MF00000008483;2022-02-18
1;17;AM00000001845;2022-02-18
0;7;MFR0000001535;2022-02-18
4;44;BD204394;2022-02-18
4;44;BD204395;2022-02-18
4;44;BD204396;2022-02-18
0;7;MF00000008484;2022-02-18
0;7;MF00000008485;2022-02-18
4;44;BD204397;2022-02-18
1;17;AM00000001846;2022-02-18
0;7;MFR0000001536;2022-02-18
0;7;MF00000008486;2022-02-18
0;7;MF00000008487;2022-02-18
1;17;AM00000001847;2022-02-18
0;7;MF00000008488;2022-02-18
0;7;MF00000008489;2022-02-18
0;7;MF00000008490;2022-02-18
1;17;AM00000001848;2022-02-18
1;17;AM00000001849;2022-02-18
4;44;BD204398;2022-02-18
4;44;BD204399;2022-02-19
4;44;BD204400;2022-02-19
0;7;MFR0000001537;2022-02-19
0;7;MFR0000001538;2022-02-19
4;44;BD204401;2022-02-19
4;44;BD204402;2022-02-19
0;7;MF00000008491;2022-02-19
0;7;MFR0000001539;2022-02-19
4;44;BD204403;2022-02-19
1;17;AM00000001850;2022-02-19
0;7;MFR0000001540;2022-02-19
0;7;MF00000008492;2022-02-19
0;7;MF00000008493;2022-02-19
0;7;MF00000008494;2022-02-19
4;44;BD204404;2022-02-19
4;44;BD204405;2022-02-19
4;44;BD204406;2022-02-19
4;44;BD204407;2022-02-19
4;44;BD204408;2022-02-21
4;44;BD204409;2022-02-21
4;44;BD204410;2022-02-21
1;17;AM00000001851;2022-02-19
1;17;AM00000001852;2022-02-19
1;17;AM00000001853;2022-02-19
1;17;AM00000001854;2022-02-19
1;17;AM00000001855;2022-02-19
1;17;AM00000001856;2022-02-19
0;7;MF00000008495;2022-02-21
0;7;MF00000008496;2022-02-21
0;7;MF00000008497;2022-02-21
0;7;MF00000008498;2022-02-21
0;7;MF00000008499;2022-02-21
0;7;MF00000008500;2022-02-21
0;7;MF00000008501;2022-02-21
0;7;MF00000008502;2022-02-21
0;7;MF00000008503;2022-02-21
0;7;MF00000008504;2022-02-21
0;7;MF00000008505;2022-02-21
0;7;MF00000008506;2022-02-21
0;7;MF00000008507;2022-02-21
0;7;MF00000008508;2022-02-21
0;7;MF00000008509;2022-02-21
0;7;MF00000008510;2022-02-21
4;44;BD204411;2022-02-21
4;44;BD204412;2022-02-21
4;44;BD204413;2022-02-21
0;7;MF00000008511;2022-02-21
1;17;4572;2022-02-19
0;7;MF00000008512;2022-02-21
0;7;MF00000008513;2022-02-21
4;44;BD204414;2022-02-21
4;44;BD204415;2022-02-21
4;44;BD204416;2022-02-21
4;44;BD204417;2022-02-21
0;7;MF00000008514;2022-02-21
0;7;MF00000008515;2022-02-21
0;7;MF00000008516;2022-02-21
0;7;MFR0000001541;2022-02-21
0;7;MF00000008517;2022-02-21
4;44;BD204418;2022-02-21
0;7;MF00000008518;2022-02-21
0;7;MF00000008519;2022-02-21
0;7;MF00000008520;2022-02-21
0;7;MF00000008521;2022-02-21
0;7;MF00000008522;2022-02-21
0;7;MF00000008523;2022-02-21
0;7;MF00000008524;2022-02-21
0;7;MF00000008525;2022-02-21
0;7;MF00000008526;2022-02-21
1;17;AM00000001857;2022-02-21
0;7;MF00000008527;2022-02-22
0;7;MF00000008528;2022-02-22
0;7;MF00000008529;2022-02-22
0;7;MF00000008530;2022-02-22
0;7;MF00000008531;2022-02-22
4;44;BD204419;2022-02-21
0;7;MF00000008532;2022-02-22
0;7;MF00000008533;2022-02-22
0;7;MF00000008534;2022-02-22
0;7;MF00000008535;2022-02-22
0;7;MF00000008536;2022-02-22
0;7;MF00000008537;2022-02-22
0;7;MF00000008538;2022-02-22
4;44;BD204420;2022-02-21
0;7;MF00000008539;2022-02-22
0;7;MF00000008540;2022-02-22
0;7;MF00000008541;2022-02-22
0;7;MF00000008542;2022-02-22
0;7;MF00000008543;2022-02-22
0;7;MF00000008544;2022-02-22
0;7;MF00000008545;2022-02-22
0;7;MF00000008546;2022-02-22
4;44;BD204421;2022-02-21
0;7;MFR0000001542;2022-02-21
0;7;MF00000008547;2022-02-22
1;17;AM00000001858;2022-02-21
1;17;AM00000001859;2022-02-21
4;44;BD204422;2022-02-21
0;7;MFR0000001543;2022-02-21
0;7;MFR0000001544;2022-02-21
4;44;BD204423;2022-02-21
4;44;BD204424;2022-02-22
4;44;BD204425;2022-02-22
4;44;BD204426;2022-02-22
4;44;BD204427;2022-02-22
1;17;AM00000001860;2022-02-22
1;17;AM00000001861;2022-02-22
0;7;MF00000008548;2022-02-22
4;44;BD204428;2022-02-22
4;44;BD204429;2022-02-22
0;7;MFR0000001545;2022-02-22
0;7;MFR0000001546;2022-02-22
4;44;BD204430;2022-02-22
4;44;BD204431;2022-02-22
4;44;BD204432;2022-02-22
1;17;AM00000001862;2022-02-22
0;7;MF00000008549;2022-02-22
4;44;BD204433;2022-02-22
0;7;MF00000008550;2022-02-22
0;7;MF00000008551;2022-02-22
0;7;MF00000008552;2022-02-22
0;7;MF00000008553;2022-02-22
0;7;MF00000008554;2022-02-22
4;44;BD204434;2022-02-22
1;17;AM00000001863;2022-02-22
1;17;AM00000001864;2022-02-22
4;44;BD204435;2022-02-22
4;44;BD204436;2022-02-22
4;44;BD204437;2022-02-22
4;44;BD204438;2022-02-22
0;7;MFR0000001547;2022-02-22
1;17;AM00000001865;2022-02-22
0;7;MF00000008555;2022-02-23
0;7;MF00000008556;2022-02-23
1;17;AM00000001866;2022-02-23
0;7;MF00000008557;2022-02-23
4;44;BD204439;2022-02-22
0;7;MF00000008558;2022-02-23
0;7;MF00000008559;2022-02-23
0;7;MF00000008560;2022-02-23
0;7;MF00000008561;2022-02-23
0;7;MFR0000001548;2022-02-23
4;44;BD204440;2022-02-23
4;44;BD204441;2022-02-23
4;44;BD204442;2022-02-23
1;17;AM00000001867;2022-02-22
1;17;AM00000001868;2022-02-22
0;7;MF00000008562;2022-02-23
0;7;MF00000008563;2022-02-23
1;17;AM00000001869;2022-02-23
0;7;MF00000008564;2022-02-23
0;7;MF00000008565;2022-02-23
0;7;MF00000008566;2022-02-23
0;7;MF00000008567;2022-02-23
1;17;AM00000001870;2022-02-23
4;44;BD204443;2022-02-23
0;7;MF00000008568;2022-02-23
4;44;BD204444;2022-02-23
1;17;AM00000001871;2022-02-23
4;44;BD204445;2022-02-23
1;17;AM00000001872;2022-02-23
1;17;AM00000001873;2022-02-23
1;17;AM00000001874;2022-02-23
0;7;MF00000008569;2022-02-23
0;7;MF00000008570;2022-02-23
1;17;AM00000001875;2022-02-23
0;7;MF00000008571;2022-02-23
0;7;MF00000008572;2022-02-23
0;7;MF00000008573;2022-02-23
0;7;MF00000008574;2022-02-23
0;7;MF00000008575;2022-02-23
0;7;MF00000008576;2022-02-23
0;7;MF00000008577;2022-02-23
4;44;BD204446;2022-02-23
2;20;45;2022-02-23
0;7;MF00000008578;2022-02-24
0;7;MF00000008579;2022-02-24
0;7;MF00000008580;2022-02-24
0;7;MF00000008581;2022-02-24
0;7;MF00000008582;2022-02-23
4;44;BD204447;2022-02-23
4;44;BD204448;2022-02-23
0;7;MF00000008583;2022-02-23
4;44;BD204449;2022-02-23
4;44;BD204450;2022-02-23
4;44;BD204451;2022-02-23
0;7;MF00000008584;2022-02-23
4;44;BD204452;2022-02-23
4;44;BD204453;2022-02-24
4;44;BD204454;2022-02-24
0;7;MFR0000001549;2022-02-24
1;17;AM00000001876;2022-02-24
0;7;MF00000008585;2022-02-24
0;7;MF00000008586;2022-02-24
0;7;MF00000008587;2022-02-24
0;7;MF00000008588;2022-02-24
0;7;MF00000008589;2022-02-24
0;7;MF00000008590;2022-02-24
0;7;MF00000008591;2022-02-24
0;7;MF00000008592;2022-02-24
0;7;MF00000008593;2022-02-24
0;7;MF00000008594;2022-02-24
0;7;MF00000008595;2022-02-24
0;7;MF00000008596;2022-02-24
1;17;AM00000001877;2022-02-24
0;7;MF00000008597;2022-02-24
1;17;AM00000001878;2022-02-23
1;17;AM00000001879;2022-02-23
1;17;AM00000001880;2022-02-23
1;17;AM00000001881;2022-02-23
1;17;4573;2022-02-23
0;7;MF00000008598;2022-02-24
4;44;BD204455;2022-02-24
4;44;BD204456;2022-02-24
1;17;AM00000001882;2022-02-24
1;17;AM00000001883;2022-02-24
4;44;BD204457;2022-02-24
4;44;BD204458;2022-02-24
4;44;BD204459;2022-02-24
0;7;MF00000008599;2022-02-24
0;7;MF00000008600;2022-02-24
0;7;MF00000008601;2022-02-24
0;7;MF00000008602;2022-02-25
4;44;BD204460;2022-02-24
0;7;MF00000008603;2022-02-24
0;7;MF00000008604;2022-02-24
0;7;MF00000008605;2022-02-24
0;7;MF00000008606;2022-02-24
0;7;MF00000008607;2022-02-24
0;7;MF00000008608;2022-02-24
0;7;MF00000008609;2022-02-24
0;7;MF00000008610;2022-02-24
1;17;AM00000001884;2022-02-24
1;17;AM00000001885;2022-02-24
0;7;MF00000008611;2022-02-24
0;7;MF00000008612;2022-02-24
0;7;MF00000008613;2022-02-24
0;7;MF00000008614;2022-02-24
0;7;MF00000008615;2022-02-24
0;7;MF00000008616;2022-02-25
4;44;BD204461;2022-02-24
0;7;MF00000008617;2022-02-25
0;7;MF00000008618;2022-02-25
1;17;AM00000001886;2022-02-24
0;7;MF00000008619;2022-02-25
0;7;MF00000008620;2022-02-25
4;44;BD204462;2022-02-24
0;7;MF00000008621;2022-02-25
0;7;MF00000008622;2022-02-25
4;44;BD204463;2022-02-24
4;44;BD204464;2022-02-25
4;44;BD204465;2022-02-25
4;44;BD204466;2022-02-25
1;17;AM00000001887;2022-02-25
0;7;MF00000008623;2022-02-25
0;7;MF00000008624;2022-02-25
0;7;MF00000008625;2022-02-25
0;7;MF00000008626;2022-02-25
0;7;MF00000008627;2022-02-25
0;7;MF00000008628;2022-02-25
1;17;AM00000001888;2022-02-25
0;7;MF00000008629;2022-02-25
0;7;MF00000008630;2022-02-25
0;7;MFR0000001550;2022-02-25
0;7;MFR0000001551;2022-02-25
0;7;MFR0000001552;2022-02-24
4;44;BD204467;2022-02-25
0;7;MF00000008631;2022-02-25
0;7;MF00000008632;2022-02-25
0;7;MF00000008633;2022-02-25
4;44;BD204468;2022-02-25
0;7;MF00000008634;2022-02-25
0;7;MF00000008635;2022-02-25
0;7;MF00000008636;2022-02-25
0;7;MF00000008637;2022-02-25
0;7;MF00000008638;2022-02-25
0;7;MF00000008639;2022-02-25
0;7;MF00000008640;2022-02-25
1;17;AM00000001889;2022-02-25
1;17;AM00000001890;2022-02-25
1;17;AM00000001891;2022-02-25
1;17;AM00000001892;2022-02-25
1;17;AM00000001893;2022-02-25
1;17;AM00000001894;2022-02-25
0;7;MF00000008641;2022-02-25
0;7;MF00000008642;2022-02-25
1;17;AM00000001895;2022-02-25
0;7;MF00000008643;2022-02-25
1;17;AM00000001896;2022-02-25
4;44;BD204469;2022-02-25
1;17;AM00000001897;2022-02-25
1;17;AM00000001898;2022-02-25
0;7;MF00000008644;2022-02-26
0;7;MF00000008645;2022-02-26
0;7;MF00000008646;2022-02-26
4;44;BD204470;2022-02-25
0;7;MF00000008647;2022-02-25
1;17;AM00000001899;2022-02-25
4;44;BD204471;2022-02-25
1;17;AM00000001900;2022-02-25
0;7;MF00000008648;2022-02-26
0;7;MF00000008649;2022-02-26
0;7;MF00000008650;2022-02-25
0;7;MF00000008651;2022-02-26
0;7;MF00000008652;2022-02-26
0;7;MF00000008653;2022-02-26
0;7;MF00000008654;2022-02-26
0;7;MF00000008655;2022-02-26
0;7;MFR0000001553;2022-02-25
0;7;MF00000008656;2022-02-26
4;44;BD204472;2022-02-25
4;44;BD204473;2022-02-25
4;44;BD204474;2022-02-25
4;44;BD204475;2022-02-25
1;17;AM00000001901;2022-02-25
1;17;AM00000001902;2022-02-25
0;7;MF00000008657;2022-02-26
0;7;MF00000008658;2022-02-26
0;7;MF00000008659;2022-02-26
0;7;MF00000008660;2022-02-26
4;44;BD204476;2022-02-26
0;7;MF00000008661;2022-02-26
0;7;MF00000008662;2022-02-26
4;44;BD204477;2022-02-26
4;44;BD204478;2022-02-26
4;44;BD204479;2022-02-26
0;7;MF00000008663;2022-02-26
0;7;MFR0000001554;2022-02-26
0;7;MF00000008664;2022-02-26
0;7;MFR0000001555;2022-02-26
0;7;MF00000008665;2022-02-26
0;7;MF00000008666;2022-02-26
0;7;MF00000008667;2022-02-26
0;7;MF00000008668;2022-02-26
0;7;MF00000008669;2022-02-26
0;7;MF00000008670;2022-02-26
1;16;AM00000001903;2022-02-25
1;17;AM00000001904;2022-02-26
0;7;MF00000008671;2022-02-26
0;7;MF00000008672;2022-02-26
0;7;MF00000008673;2022-02-28
0;7;MF00000008674;2022-02-28
0;7;MF00000008675;2022-02-28
4;44;BD204480;2022-02-26
4;44;BD204481;2022-02-26
4;44;BD204482;2022-02-26
1;17;AM00000001905;2022-02-24
4;44;BD204483;2022-02-26
4;44;BD204484;2022-02-26
0;7;MFR0000001556;2022-02-25
0;7;MFR0000001557;2022-02-25
0;7;MF00000008676;2022-02-26
0;7;MF00000008677;2022-02-26
1;17;AM00000001906;2022-02-25
4;44;BD204485;2022-02-26
1;17;AM00000001907;2022-02-25
0;7;MFR0000001558;2022-02-26
4;44;BD204486;2022-02-26
0;7;MF00000008678;2022-02-26
0;7;MF00000008679;2022-02-26
0;7;MFR0000001559;2022-02-26
0;7;MFR0000001560;2022-02-26
0;7;MF00000008680;2022-02-28
0;7;MF00000008681;2022-02-28
0;7;MF00000008682;2022-02-28
0;7;MF00000008683;2022-02-26
0;7;MF00000008684;2022-02-28
0;7;MF00000008685;2022-02-28
0;7;MF00000008686;2022-02-28
0;7;MFR0000001561;2022-02-26
0;7;MF00000008687;2022-02-26
0;7;MF00000008688;2022-02-26
0;7;MF00000008689;2022-02-26
0;7;MF00000008690;2022-02-28
0;7;MF00000008691;2022-02-26
0;7;MF00000008692;2022-02-28
4;44;BD204487;2022-02-26
4;44;BD204488;2022-02-28
4;44;BD204489;2022-02-28
0;7;MF00000008693;2022-02-28
0;7;MF00000008694;2022-02-28
0;7;MF00000008695;2022-02-28
0;7;MF00000008696;2022-02-28
0;7;MF00000008697;2022-02-28
4;44;BD204490;2022-02-28
0;7;MF00000008698;2022-02-28
0;7;MF00000008699;2022-02-28
0;7;MF00000008700;2022-02-28
0;7;MF00000008701;2022-02-28
4;44;BD204491;2022-02-28
0;7;MFR0000001562;2022-02-28
0;7;MFR0000001563;2022-02-28
4;44;BD204492;2022-02-28
4;44;BD204493;2022-02-28
0;7;MFR0000001564;2022-02-26
0;7;MFR0000001565;2022-02-26
4;44;BD204494;2022-02-28
4;44;BD204495;2022-02-28
4;44;BD204496;2022-02-28
4;44;BD204497;2022-02-28
4;44;BD204498;2022-02-28
4;44;BD204499;2022-02-28
0;7;MFR0000001566;2022-02-28
4;44;BD204500;2022-02-28
4;44;BD204501;2022-02-28
4;44;BD204502;2022-02-28
0;7;MF00000008702;2022-02-28
0;7;MF00000008703;2022-02-28
0;7;MF00000008704;2022-02-28
1;17;AM00000001908;2022-03-01
1;17;AM00000001909;2022-03-01
1;17;AM00000001910;2022-03-01
1;17;AM00000001911;2022-03-01
1;17;AM00000001912;2022-03-01
0;7;MF00000008705;2022-02-28
0;7;MF00000008706;2022-03-01
0;7;MF00000008707;2022-03-01
0;7;MF00000008708;2022-03-01
0;7;MF00000008709;2022-03-01
0;7;MF00000008710;2022-03-01
1;17;AM00000001913;2022-02-28
0;7;MF00000008711;2022-02-28
0;7;MF00000008712;2022-02-28
4;44;BD204503;2022-02-28
0;7;MF00000008713;2022-02-28
0;7;MF00000008714;2022-02-28
0;7;MF00000008715;2022-02-28
0;7;MF00000008716;2022-02-28
0;7;MF00000008717;2022-02-28
0;7;MF00000008718;2022-02-28
0;7;MF00000008719;2022-02-28
0;7;MF00000008720;2022-03-01
0;7;MF00000008721;2022-03-01
0;7;MF00000008722;2022-03-01
0;7;MF00000008723;2022-03-01
0;7;MF00000008724;2022-03-01
0;7;MF00000008725;2022-03-01
0;7;MF00000008726;2022-03-01
0;7;MF00000008727;2022-03-01
0;7;MF00000008728;2022-03-01
0;7;MF00000008729;2022-02-28
0;7;MF00000008730;2022-03-01
0;7;MF00000008731;2022-03-01
0;7;MF00000008732;2022-03-01
0;7;MF00000008733;2022-03-01
0;7;MF00000008734;2022-03-01
0;7;MF00000008735;2022-03-01
0;7;MF00000008736;2022-03-01
0;7;MF00000008737;2022-03-01
0;7;MF00000008738;2022-03-01
0;7;MF00000008739;2022-03-01
1;17;AM00000001914;2022-02-28
0;7;MF00000008740;2022-03-01
0;7;MF00000008741;2022-03-01
4;44;BD204504;2022-02-28
0;7;MF00000008742;2022-03-01
0;7;MF00000008743;2022-03-01
4;44;BD204505;2022-02-28
4;44;BD204506;2022-03-01
4;44;BD204507;2022-03-01
4;44;BD204508;2022-03-01
4;44;BD204509;2022-03-01
4;44;BD204510;2022-03-01
0;7;MFR0000001567;2022-03-01
4;44;BD204511;2022-03-01
4;44;BD204512;2022-03-01
1;17;AM00000001915;2022-02-28
4;44;BD204513;2022-03-01
1;17;AM00000001916;2022-02-28
4;44;BD204514;2022-03-01
0;7;MF00000008744;2022-03-01
4;44;BD204515;2022-03-01
4;44;BD204516;2022-03-01
4;44;BD204517;2022-03-01
0;7;MF00000008745;2022-03-02
0;7;MF00000008746;2022-03-02
0;7;MF00000008747;2022-03-02
0;7;MF00000008748;2022-03-02
0;7;MF00000008749;2022-03-02
0;7;MF00000008750;2022-03-02
0;7;MF00000008751;2022-03-02
4;44;BD204518;2022-03-01
4;44;BD204519;2022-03-01
4;44;BD204520;2022-03-01
4;44;BD204521;2022-03-01
0;7;MFR0000001568;2022-03-01
4;44;BD204522;2022-03-01
0;7;MF00000008752;2022-03-02
0;7;MF00000008753;2022-03-02
0;7;MF00000008754;2022-03-02
0;7;MF00000008755;2022-03-02
0;7;MF00000008756;2022-03-02
0;7;MF00000008757;2022-03-02
0;7;MF00000008758;2022-03-02
0;7;MF00000008759;2022-03-02
0;7;MF00000008760;2022-03-02
0;7;MF00000008761;2022-03-02
0;7;MF00000008762;2022-03-02
1;17;AM00000001917;2022-03-02
1;17;AM00000001918;2022-03-02
1;17;AM00000001919;2022-03-02
1;17;AM00000001920;2022-03-02
1;17;AM00000001921;2022-03-02
1;17;AM00000001922;2022-03-02
0;6;MF00000008763;2022-03-02
0;7;MF00000008764;2022-03-02
0;7;MF00000008765;2022-03-02
0;7;MF00000008766;2022-03-02
0;7;MF00000008767;2022-03-02
0;7;MF00000008768;2022-03-02
4;44;BD204523;2022-03-02
4;44;BD204524;2022-03-02
4;44;BD204525;2022-03-02
4;44;BD204526;2022-03-02
0;7;MF00000008769;2022-03-02
0;7;MF00000008770;2022-03-02
0;7;MF00000008771;2022-03-02
0;7;MF00000008772;2022-03-02
0;7;MF00000008773;2022-03-02
4;44;BD204527;2022-03-02
0;7;MF00000008774;2022-03-02
0;7;MFR0000001569;2022-03-02
4;44;BD204528;2022-03-02
4;44;BD204529;2022-03-02
0;7;MFR0000001570;2022-03-01
1;17;AM00000001923;2022-03-01
1;17;AM00000001924;2022-03-01
4;44;BD204530;2022-03-02
1;17;4574;2022-03-01
1;17;AM00000001925;2022-03-02
0;7;MF00000008775;2022-03-02
0;7;MF00000008776;2022-03-02
0;7;MFR0000001571;2022-03-02
0;7;MF00000008777;2022-03-02
0;6;MF00000008778;2022-03-02
0;7;MF00000008779;2022-03-02
4;44;BD204531;2022-03-02
0;7;MF00000008780;2022-03-02
4;44;BD204532;2022-03-02
4;44;BD204533;2022-03-02
4;44;BD204534;2022-03-02
1;17;AM00000001926;2022-03-02
4;44;BD204535;2022-03-02
4;44;BD204536;2022-03-02
4;44;BD204537;2022-03-02
1;17;AM00000001927;2022-03-02
1;17;AM00000001928;2022-03-02
1;17;AM00000001929;2022-03-02
0;6;MFR0000001572;2022-03-02
0;7;MF00000008781;2022-03-03
0;7;MF00000008782;2022-03-03
0;7;MF00000008783;2022-03-02
1;17;AM00000001930;2022-03-02
0;7;MF00000008784;2022-03-02
0;7;MF00000008785;2022-03-02
0;7;MF00000008786;2022-03-03
0;7;MF00000008787;2022-03-03
0;7;MF00000008788;2022-03-03
1;17;AM00000001931;2022-03-02
0;7;MFR0000001573;2022-03-02
0;7;MF00000008789;2022-03-03
0;7;MF00000008790;2022-03-03
0;7;MF00000008791;2022-03-03
0;7;MF00000008792;2022-03-03
1;17;AM00000001932;2022-03-02
0;7;MF00000008793;2022-03-03
0;7;MF00000008794;2022-03-03
4;44;BD204538;2022-03-02
0;7;MFR0000001574;2022-03-02
0;7;MFR0000001575;2022-03-02
0;7;MF00000008795;2022-03-03
0;7;MF00000008796;2022-03-03
4;44;BD204539;2022-03-03
4;44;BD204540;2022-03-03
4;44;BD204541;2022-03-03
4;44;BD204542;2022-03-03
4;44;BD204543;2022-03-03
1;17;AM00000001933;2022-03-03
1;17;AM00000001934;2022-03-03
4;44;BD204544;2022-03-03
1;17;AM00000001935;2022-03-03
1;17;AM00000001936;2022-03-03
0;7;MF00000008797;2022-03-03
0;7;MF00000008798;2022-03-03
0;7;MF00000008799;2022-03-03
0;7;MFR0000001576;2022-03-03
0;7;MFR0000001577;2022-03-03
4;44;BD204545;2022-03-03
1;17;AM00000001937;2022-03-02
0;7;MF00000008800;2022-03-03
0;7;MF00000008801;2022-03-03
0;7;MF00000008802;2022-03-03
0;7;MFR0000001578;2022-03-03
1;17;AM00000001938;2022-03-03
1;17;4575;2022-03-03
1;17;AM00000001939;2022-03-03
0;7;MF00000008803;2022-03-03
1;17;AM00000001940;2022-03-03
0;7;MFR0000001579;2022-03-03
4;44;BD204546;2022-03-03
1;17;AM00000001941;2022-03-03
0;7;MF00000008804;2022-03-03
4;44;BD204547;2022-03-03
0;7;MF00000008805;2022-03-03
0;7;MFR0000001580;2022-03-03
0;7;MF00000008806;2022-03-04
0;7;MF00000008807;2022-03-04
0;7;MF00000008808;2022-03-04
0;7;MF00000008809;2022-03-04
4;44;BD204548;2022-03-03
4;44;BD204549;2022-03-03
1;17;AM00000001942;2022-03-04
0;7;MF00000008810;2022-03-04
0;7;MF00000008811;2022-03-03
0;7;MFR0000001581;2022-03-03
0;7;MFR0000001582;2022-03-03
1;17;AM00000001943;2022-03-04
0;7;MF00000008812;2022-03-04
1;17;AM00000001944;2022-03-04
0;7;MF00000008813;2022-03-04
2;20;46;2022-03-03
4;44;BD204550;2022-03-04
1;17;AM00000001945;2022-03-04
0;7;MF00000008814;2022-03-04
0;7;MF00000008815;2022-03-04
0;7;MF00000008816;2022-03-04
0;7;MF00000008817;2022-03-04
0;7;MF00000008818;2022-03-04
0;7;MF00000008819;2022-03-04
0;7;MF00000008820;2022-03-04
4;44;BD204551;2022-03-04
0;7;MF00000008821;2022-03-04
1;17;AM00000001946;2022-03-04
0;7;MF00000008822;2022-03-04
1;17;AM00000001947;2022-03-03
0;7;MF00000008823;2022-03-04
0;7;MF00000008824;2022-03-04
0;7;MF00000008825;2022-03-04
0;7;MF00000008826;2022-03-04
0;7;MF00000008827;2022-03-04
0;7;MF00000008828;2022-03-04
1;17;AM00000001948;2022-03-04
0;7;MF00000008829;2022-03-04
4;44;BD204552;2022-03-04
4;44;BD204553;2022-03-04
4;44;BD204554;2022-03-04
0;7;MFR0000001583;2022-03-02
4;44;BD204555;2022-03-04
0;7;MFR0000001584;2022-03-04
0;7;MFR0000001585;2022-03-04
1;16;4576;2022-03-04
4;44;BD204556;2022-03-04
4;44;BD204557;2022-03-04
0;7;MFR0000001586;2022-03-04
0;7;MF00000008830;2022-03-04
4;44;BD204558;2022-03-04
1;17;AM00000001949;2022-03-04
1;17;AM00000001950;2022-03-04
1;17;AM00000001951;2022-03-04
0;7;MF00000008831;2022-03-04
4;44;BD204559;2022-03-04
0;7;MF00000008832;2022-03-04
0;7;MFR0000001587;2022-03-04
0;7;MFR0000001588;2022-03-04
0;7;MFR0000001589;2022-03-04
0;7;MF00000008833;2022-03-04
0;7;MF00000008834;2022-03-04
0;7;MF00000008835;2022-03-04
0;7;MF00000008836;2022-03-04
0;7;MF00000008837;2022-03-04
0;7;MF00000008838;2022-03-04
0;7;MF00000008839;2022-03-04
1;17;AM00000001952;2022-03-03
0;7;MFR0000001590;2022-03-04
0;7;MF00000008840;2022-03-04
1;17;AM00000001953;2022-03-04
0;7;MFR0000001591;2022-03-04
1;17;AM00000001954;2022-03-04
4;44;BD204560;2022-03-04
1;17;AM00000001955;2022-03-04
0;7;MF00000008841;2022-03-05
4;44;BD204561;2022-03-04
0;7;MFR0000001592;2022-03-02
0;7;MFR0000001593;2022-03-01
0;7;MF00000008842;2022-03-07
0;7;MF00000008843;2022-03-05
0;7;MF00000008844;2022-03-05
0;7;MF00000008845;2022-03-05
0;7;MF00000008846;2022-03-05
4;44;BD204562;2022-03-04
4;44;BD204563;2022-03-04
4;44;BD204564;2022-03-04
0;7;MFR0000001594;2022-03-04
0;7;MFR0000001595;2022-03-04
0;7;MF00000008847;2022-03-04
0;7;MF00000008848;2022-03-04
4;44;BD204565;2022-03-04
0;7;MF00000008849;2022-03-05
0;7;MF00000008850;2022-03-04
0;7;MF00000008851;2022-03-05
1;17;AM00000001956;2022-03-05
1;17;AM00000001957;2022-03-05
1;17;AM00000001958;2022-03-05
1;17;AM00000001959;2022-03-05
1;17;AM00000001960;2022-03-05
1;17;AM00000001961;2022-03-05
0;7;MF00000008852;2022-03-05
0;7;MF00000008853;2022-03-05
0;7;MF00000008854;2022-03-05
0;7;MF00000008855;2022-03-05
0;7;MF00000008856;2022-03-05
0;7;MF00000008857;2022-03-05
4;44;BD204566;2022-03-04
4;44;BD204567;2022-03-05
4;44;BD204568;2022-03-05
4;44;BD204569;2022-03-05
0;7;MF00000008858;2022-03-05
0;7;MF00000008859;2022-03-05
0;7;MF00000008860;2022-03-05
0;7;MF00000008861;2022-03-05
0;7;MF00000008862;2022-03-05
0;7;MF00000008863;2022-03-05
0;7;MF00000008864;2022-03-05
1;17;AM00000001962;2022-03-05
0;7;MF00000008865;2022-03-05
4;44;BD204570;2022-03-05
4;44;BD204571;2022-03-05
4;44;BD204572;2022-03-05
4;44;BD204573;2022-03-05
4;44;BD204574;2022-03-05
1;17;AM00000001963;2022-03-04
1;17;AM00000001964;2022-03-04
4;44;BD204575;2022-03-05
4;44;BD204576;2022-03-05
0;7;MF00000008866;2022-03-05
4;44;BD204577;2022-03-05
0;7;MF00000008867;2022-03-05
4;44;BD204578;2022-03-05
4;44;BD204579;2022-03-05
0;7;MF00000008868;2022-03-05
1;17;AM00000001965;2022-03-05
