DO_Domaine;DO_Type;DO_Piece;DO_Date
0;7;MF00000000115;2020-07-18
0;7;MFR0000000013;2020-07-16
0;7;MF00000000116;2020-07-16
0;7;MF00000000117;2020-07-17
1;17;AM00000000051;2020-07-18
0;7;MF00000000118;2020-07-17
1;17;AM00000000052;2020-07-18
0;7;MF00000000119;2020-07-18
1;17;AM00000000053;2020-07-16
0;7;MF00000000120;2020-07-20
0;7;MF00000000121;2020-07-20
0;7;MF00000000122;2020-07-20
0;7;MF00000000123;2020-07-20
0;7;MF00000000124;2020-07-20
1;17;AM00000000054;2020-07-18
1;17;AM00000000055;2020-07-18
0;7;MF00000000125;2020-07-20
0;7;MF00000000126;2020-07-20
1;17;AM00000000056;2020-07-21
0;7;MF00000000127;2020-07-21
0;7;MF00000000128;2020-07-21
0;7;MF00000000129;2020-07-21
0;7;MF00000000130;2020-07-21
0;7;MFR0000000014;2020-07-18
0;7;MFR0000000015;2020-07-18
0;7;MF00000000131;2020-07-18
0;7;MF00000000132;2020-07-21
0;7;MF00000000133;2020-07-22
0;7;MF00000000134;2020-07-22
1;17;AM00000000057;2020-07-21
0;7;MF00000000135;2020-07-21
0;7;MF00000000136;2020-07-22
1;17;AM00000000058;2020-07-21
0;7;MF00000000137;2020-07-22
0;7;MF00000000138;2020-07-22
1;17;AM00000000059;2020-07-21
1;17;AM00000000060;2020-07-21
0;7;MF00000000139;2020-07-22
0;7;MFR0000000016;2020-07-20
0;7;MFR0000000017;2020-07-20
0;7;MFR0000000018;2020-07-20
1;17;AM00000000061;2020-07-22
0;7;MF00000000140;2020-07-22
0;7;MF00000000141;2020-07-22
1;17;AM00000000063;2020-06-30
1;17;AM00000000064;2020-07-02
1;17;AM00000000065;2020-07-02
1;17;AM00000000066;2020-07-22
1;17;AM00000000067;2020-07-02
1;17;AM00000000068;2020-07-23
1;17;AM00000000069;2020-07-23
0;7;MF00000000142;2020-07-23
0;7;MF00000000143;2020-07-23
0;7;MF00000000144;2020-07-23
1;17;AM00000000070;2020-07-22
0;7;MF00000000145;2020-07-23
0;7;MF00000000146;2020-07-23
0;7;MF00000000147;2020-07-23
1;17;AM00000000071;2020-07-06
1;17;AM00000000072;2020-07-08
1;17;AM00000000073;2020-07-07
1;17;AM00000000074;2020-07-07
1;17;AM00000000075;2020-07-08
1;17;AM00000000076;2020-07-08
1;17;AM00000000077;2020-07-09
1;17;AM00000000078;2020-07-09
1;17;AM00000000079;2020-07-09
1;17;AM00000000080;2020-07-10
1;17;AM00000000081;2020-07-10
1;17;AM00000000082;2020-07-10
1;17;AM00000000083;2020-07-11
1;17;AM00000000084;2020-07-13
1;17;AM00000000085;2020-07-14
1;17;AM00000000086;2020-07-14
0;7;MF00000000148;2020-07-23
1;17;AM00000000087;2020-07-23
0;7;MF00000000149;2020-07-24
0;7;MF00000000150;2020-07-24
0;7;MF00000000151;2020-07-24
0;7;MF00000000152;2020-07-24
1;17;AM00000000088;2020-07-23
1;17;AM00000000089;2020-07-23
1;17;AM00000000090;2020-07-22
0;7;MF00000000153;2020-07-25
0;7;MF00000000154;2020-07-25
0;7;MF00000000155;2020-07-25
1;17;AM00000000091;2020-07-24
1;17;AM00000000092;2020-07-24
0;7;MF00000000156;2020-07-24
0;7;MF00000000157;2020-07-24
0;7;MF00000000158;2020-07-25
0;7;MF00000000159;2020-07-25
0;7;MF00000000160;2020-07-25
0;7;MF00000000161;2020-07-25
1;17;AM00000000093;2020-07-22
1;17;AM00000000094;2020-07-23
1;17;AM00000000095;2020-07-23
1;17;AM00000000096;2020-07-23
0;7;MF00000000162;2020-07-25
0;7;MFR0000000019;2020-07-25
0;7;MFR0000000020;2020-07-25
0;7;MF00000000163;2020-07-27
0;7;MF00000000164;2020-07-27
0;7;MF00000000165;2020-07-27
1;17;AM00000000097;2020-07-27
1;17;AM00000000098;2020-07-27
0;7;MF00000000166;2020-07-27
0;7;MF00000000167;2020-07-27
0;7;MF00000000168;2020-07-28
0;7;MF00000000169;2020-07-28
0;7;MF00000000170;2020-07-28
1;17;AM00000000099;2020-07-27
0;7;MF00000000171;2020-07-28
0;7;MF00000000172;2020-07-28
0;7;MF00000000173;2020-07-28
1;17;AM00000000100;2020-07-27
0;7;MF00000000174;2020-07-28
0;7;MF00000000175;2020-07-28
0;7;MF00000000176;2020-07-28
0;7;MF00000000177;2020-07-28
0;7;MF00000000178;2020-07-27
0;7;MF00000000179;2020-07-29
0;7;MF00000000180;2020-07-29
1;17;AM00000000101;2020-07-29
1;17;AM00000000102;2020-07-29
0;7;MF00000000181;2020-07-29
0;7;MF00000000182;2020-07-29
1;17;AM00000000105;2020-07-28
0;7;MF00000000183;2020-07-29
0;7;MF00000000184;2020-07-29
0;7;MF00000000185;2020-07-29
0;7;MF00000000186;2020-07-29
0;7;MF00000000187;2020-07-29
0;7;MFR0000000021;2020-07-29
0;7;MF00000000188;2020-07-29
0;7;MF00000000189;2020-07-29
0;7;MFR0000000022;2020-07-28
0;7;MFR0000000023;2020-07-28
0;7;MF00000000190;2020-07-28
0;7;MF00000000191;2020-07-29
1;17;AM00000000106;2020-07-24
1;17;AM00000000107;2020-07-29
0;7;MF00000000192;2020-07-30
0;7;MF00000000193;2020-07-30
0;7;MF00000000194;2020-07-30
0;7;MF00000000195;2020-07-30
0;7;MFR0000000024;2020-07-29
0;7;MF00000000196;2020-07-30
0;7;MFR0000000025;2020-07-29
0;7;MF00000000197;2020-07-30
0;7;MF00000000198;2020-07-30
1;17;AM00000000109;2020-07-03
1;17;AM00000000111;2020-07-29
0;7;MFR0000000026;2020-07-30
0;7;MFR0000000027;2020-07-30
0;7;MF00000000199;2020-08-04
0;7;MF00000000200;2020-08-04
0;7;MF00000000201;2020-08-04
1;17;AM00000000112;2020-08-04
1;17;AM00000000113;2020-08-04
1;17;AM00000000114;2020-08-04
0;7;MF00000000202;2020-08-04
0;7;MF00000000203;2020-08-04
0;7;MF00000000204;2020-08-04
0;7;MF00000000205;2020-08-04
0;7;MF00000000206;2020-08-04
1;17;AM00000000115;2020-07-16
1;17;AM00000000116;2020-07-17
1;17;AM00000000117;2020-07-27
1;17;AM00000000118;2020-07-11
1;17;AM00000000119;2020-07-11
1;17;AM00000000120;2020-07-29
0;7;MF00000000207;2020-08-05
0;7;MF00000000208;2020-08-05
0;7;MF00000000209;2020-08-05
0;7;MF00000000210;2020-08-05
0;7;MF00000000211;2020-08-05
1;17;AM00000000121;2020-08-05
0;7;MF00000000212;2020-08-05
1;17;AM00000000122;2020-08-05
0;7;MF00000000213;2020-08-06
0;7;MF00000000214;2020-08-06
0;7;MF00000000215;2020-08-06
0;7;MF00000000216;2020-08-06
0;7;MF00000000217;2020-08-06
0;7;MFR0000000028;2020-08-05
0;7;MFR0000000029;2020-08-05
0;7;MF00000000218;2020-08-06
0;7;MF00000000219;2020-08-06
0;7;MF00000000220;2020-08-07
0;7;MF00000000221;2020-08-06
0;7;MF00000000222;2020-08-07
0;7;MF00000000223;2020-08-07
0;7;MF00000000224;2020-08-07
0;7;MF00000000225;2020-08-07
0;7;MF00000000226;2020-08-07
0;7;MF00000000227;2020-08-08
0;7;MF00000000228;2020-08-08
1;17;AM00000000123;2020-08-08
1;17;AM00000000124;2020-08-07
1;17;AM00000000125;2020-08-08
0;7;MF00000000229;2020-08-08
0;7;MF00000000230;2020-08-08
0;7;MF00000000231;2020-08-08
0;7;MF00000000232;2020-08-08
0;7;MF00000000233;2020-08-08
0;7;MF00000000234;2020-08-08
1;17;AM00000000126;2020-08-07
1;17;AM00000000127;2020-08-05
1;17;AM00000000128;2020-08-05
0;7;MFR0000000030;2020-08-06
1;17;AM00000000129;2020-08-10
0;7;MF00000000235;2020-08-10
0;7;MF00000000236;2020-08-10
0;7;MF00000000237;2020-08-10
0;7;MF00000000238;2020-08-10
0;7;MF00000000239;2020-08-10
0;7;MF00000000240;2020-08-10
0;7;MF00000000241;2020-08-10
0;7;MF00000000242;2020-08-10
0;7;MF00000000243;2020-08-10
0;7;MF00000000244;2020-08-10
0;7;MF00000000246;2020-08-10
0;7;MF00000000247;2020-08-10
1;17;AM00000000130;2020-08-10
0;7;MF00000000248;2020-08-11
0;7;MF00000000249;2020-08-11
0;7;MF00000000250;2020-08-11
1;17;AM00000000131;2020-08-11
1;17;AM00000000132;2020-08-11
0;7;MF00000000251;2020-08-11
0;7;MF00000000252;2020-08-11
0;7;MF00000000253;2020-08-11
0;7;MF00000000254;2020-08-11
0;7;MF00000000255;2020-08-11
0;7;MF00000000256;2020-08-11
0;7;MF00000000257;2020-08-11
1;17;AM00000000133;2020-08-11
1;17;AM00000000134;2020-08-12
0;7;MF00000000258;2020-08-12
0;7;MF00000000259;2020-08-12
0;7;MF00000000260;2020-08-12
0;7;MF00000000261;2020-08-12
0;7;MF00000000262;2020-08-12
0;7;MF00000000263;2020-08-12
0;7;MF00000000264;2020-08-12
0;7;MF00000000265;2020-08-12
0;7;MF00000000266;2020-08-12
1;17;AM00000000135;2020-08-12
1;17;AM00000000136;2020-08-12
0;7;MF00000000267;2020-08-12
1;17;AM00000000137;2020-08-12
0;7;MF00000000268;2020-08-13
0;7;MF00000000269;2020-08-13
0;7;MF00000000270;2020-08-13
1;17;AM00000000138;2020-08-13
0;7;MF00000000271;2020-08-13
0;7;MF00000000272;2020-08-13
0;7;MF00000000273;2020-08-13
1;17;AM00000000139;2020-08-13
0;7;MF00000000274;2020-08-13
0;7;MF00000000275;2020-08-13
0;7;MF00000000276;2020-08-13
0;7;MF00000000277;2020-08-13
0;7;MF00000000278;2020-08-13
1;17;AM00000000140;2020-08-13
1;17;AM00000000141;2020-08-14
0;7;MF00000000279;2020-08-14
1;17;AM00000000142;2020-08-14
2;20;1;2020-08-14
0;7;MF00000000280;2020-08-14
0;7;MF00000000281;2020-08-14
0;7;MF00000000282;2020-08-14
0;7;MF00000000283;2020-08-14
0;7;MF00000000284;2020-08-14
0;7;MF00000000285;2020-08-14
0;7;MF00000000286;2020-08-14
0;7;MF00000000287;2020-08-14
0;7;MF00000000288;2020-08-14
0;7;MF00000000289;2020-08-14
0;7;MF00000000290;2020-08-14
0;7;MF00000000291;2020-08-14
0;7;MF00000000292;2020-08-15
0;7;MFR0000000031;2020-08-13
0;7;MF00000000293;2020-08-15
0;7;MF00000000294;2020-08-15
0;7;MF00000000295;2020-08-15
1;17;AM00000000143;2020-08-15
1;17;AM00000000144;2020-08-15
1;17;AM00000000145;2020-08-14
1;17;AM00000000146;2020-08-17
1;17;AM00000000147;2020-08-17
0;7;MF00000000296;2020-08-17
0;7;MF00000000297;2020-08-17
0;7;MF00000000298;2020-08-17
0;7;MF00000000299;2020-08-17
0;7;MF00000000300;2020-08-17
1;17;AM00000000148;2020-08-18
0;7;MF00000000301;2020-08-18
0;7;MF00000000302;2020-08-18
0;7;MF00000000303;2020-08-18
0;7;MF00000000304;2020-08-18
0;7;MF00000000305;2020-08-18
0;7;MF00000000306;2020-08-18
0;7;MF00000000307;2020-08-19
0;7;MF00000000308;2020-08-19
0;7;MF00000000309;2020-08-19
0;7;MF00000000310;2020-08-19
0;7;MF00000000311;2020-08-19
0;7;MF00000000312;2020-08-19
0;7;MFR0000000032;2020-08-11
0;7;MF00000000313;2020-08-19
0;7;MF00000000314;2020-08-19
0;7;MF00000000315;2020-08-20
1;17;AM00000000150;2020-08-17
1;17;AM00000000151;2020-08-21
0;7;MF00000000316;2020-08-21
1;17;AM00000000152;2020-08-21
1;17;AM00000000153;2020-08-21
0;7;MF00000000317;2020-08-21
0;7;MF00000000318;2020-08-21
0;7;MF00000000319;2020-08-21
0;7;MF00000000320;2020-08-21
0;7;MF00000000321;2020-08-21
0;7;MF00000000322;2020-08-21
0;7;MF00000000323;2020-08-21
0;7;MF00000000324;2020-08-21
0;7;MFR0000000033;2020-08-21
0;7;MF00000000325;2020-08-21
0;7;MF00000000326;2020-08-21
0;7;MF00000000327;2020-08-21
0;7;MF00000000328;2020-08-21
0;7;MF00000000329;2020-08-22
0;7;MFR0000000034;2020-08-19
0;7;MF00000000330;2020-08-22
0;7;MF00000000331;2020-08-22
0;7;MF00000000332;2020-08-22
0;7;MFR0000000035;2020-08-19
0;7;MF00000000333;2020-08-24
0;7;MF00000000334;2020-08-24
1;17;AM00000000154;2020-08-21
1;17;AM00000000155;2020-08-21
0;7;MF00000000335;2020-08-24
0;7;MF00000000336;2020-08-24
0;7;MF00000000337;2020-08-24
0;7;MF00000000338;2020-08-24
0;7;MFR0000000036;2020-08-21
0;7;MFR0000000037;2020-08-14
1;17;AM00000000156;2020-08-24
0;7;MF00000000339;2020-08-25
0;7;MF00000000340;2020-08-25
0;7;MF00000000341;2020-08-25
0;7;MF00000000342;2020-08-25
0;7;MF00000000343;2020-08-25
0;7;MF00000000344;2020-08-25
0;7;MF00000000345;2020-08-25
0;7;MF00000000346;2020-08-25
0;7;MF00000000347;2020-08-25
0;7;MF00000000348;2020-08-25
1;17;AM00000000157;2020-08-25
0;7;MF00000000349;2020-08-26
0;7;MF00000000350;2020-08-26
1;17;AM00000000158;2020-08-25
0;7;MF00000000351;2020-08-26
1;17;AM00000000159;2020-08-25
1;17;AM00000000160;2020-08-25
0;7;MF00000000352;2020-08-26
0;7;MF00000000353;2020-08-26
0;7;MF00000000354;2020-08-26
0;7;MF00000000355;2020-08-26
1;17;AM00000000161;2020-08-24
0;7;MF00000000356;2020-08-26
0;7;MF00000000357;2020-08-26
1;17;AM00000000162;2020-08-25
0;7;MF00000000358;2020-08-26
1;17;AM00000000163;2020-08-25
1;17;AM00000000164;2020-08-26
0;7;MF00000000359;2020-08-27
0;7;MF00000000360;2020-08-27
0;7;MF00000000361;2020-08-27
1;17;AM00000000165;2020-08-25
1;17;AM00000000166;2020-08-26
0;7;MFR0000000038;2020-08-25
0;7;MFR0000000039;2020-08-25
0;7;MF00000000362;2020-08-25
0;7;MFR0000000040;2020-08-26
0;7;MF00000000363;2020-08-26
1;17;AM00000000167;2020-08-26
0;7;MF00000000364;2020-08-27
0;7;MF00000000365;2020-08-27
0;7;MF00000000366;2020-08-27
0;7;MF00000000367;2020-08-27
0;7;MF00000000368;2020-08-27
0;7;MFR0000000041;2020-08-27
0;7;MFR0000000042;2020-08-12
0;7;MF00000000369;2020-08-28
0;7;MF00000000370;2020-08-28
0;7;MF00000000371;2020-08-28
0;7;MF00000000372;2020-08-28
0;7;MFR0000000043;2020-08-27
0;7;MFR0000000044;2020-08-25
0;7;MFR0000000045;2020-08-25
0;7;MF00000000373;2020-08-25
0;7;MF00000000374;2020-08-28
1;17;AM00000000168;2020-08-25
1;17;AM00000000169;2020-08-18
1;17;AM00000000170;2020-08-26
0;7;MF00000000375;2020-08-29
1;17;AM00000000171;2020-08-28
0;7;MF00000000376;2020-08-29
0;7;MF00000000377;2020-08-29
0;7;MF00000000378;2020-08-29
0;7;MF00000000379;2020-08-29
0;7;MF00000000380;2020-08-29
0;7;MF00000000381;2020-08-29
0;7;MF00000000382;2020-08-29
0;7;MFR0000000046;2020-08-25
0;7;MF00000000383;2020-08-29
0;7;MFR0000000047;2020-08-25
0;7;MF00000000384;2020-08-25
0;7;MFR0000000048;2020-08-21
1;17;AM00000000172;2020-08-28
1;17;AM00000000173;2020-08-28
1;17;AM00000000174;2020-08-29
1;17;AM00000000175;2020-08-29
1;17;AM00000000176;2020-08-29
0;7;MF00000000385;2020-08-29
0;7;MFR0000000049;2020-08-31
0;7;MF00000000386;2020-08-31
0;7;MF00000000387;2020-08-31
0;7;MF00000000388;2020-08-29
0;7;MF00000000389;2020-08-31
0;7;MF00000000390;2020-08-31
0;7;MF00000000391;2020-08-31
0;7;MF00000000392;2020-08-31
0;7;MFR0000000050;2020-08-31
0;7;MF00000000393;2020-08-31
0;7;MFR0000000051;2020-08-31
0;7;MF00000000394;2020-08-31
0;7;MF00000000395;2020-08-31
0;7;MF00000000396;2020-08-31
1;17;AM00000000177;2020-08-31
0;7;MFR0000000052;2020-08-31
1;17;AM00000000178;2020-08-29
1;17;AM00000000179;2020-08-31
0;7;MF00000000397;2020-08-31
0;7;MF00000000398;2020-08-31
0;7;MF00000000399;2020-08-31
0;7;MF00000000400;2020-08-31
1;17;AM00000000180;2020-08-31
0;7;MF00000000401;2020-08-31
0;7;MF00000000402;2020-08-31
0;7;MF00000000403;2020-08-31
0;7;MF00000000404;2020-08-31
0;7;MF00000000405;2020-08-31
0;7;MF00000000406;2020-08-31
0;7;MF00000000407;2020-08-31
0;7;MF00000000408;2020-08-31
0;7;MFR0000000053;2020-08-31
0;7;MF00000000409;2020-08-31
0;7;MFR0000000054;2020-08-31
0;7;MF00000000410;2020-08-31
1;17;AM00000000181;2020-07-18
1;17;AM00000000182;2020-09-01
1;17;AM00000000183;2020-07-15
1;17;AM00000000184;2020-08-20
1;17;AM00000000185;2020-07-15
0;7;MFR0000000055;2020-08-31
0;7;MF00000000411;2020-08-31
0;7;MF00000000412;2020-09-01
0;7;MF00000000413;2020-09-01
0;7;MF00000000414;2020-08-31
0;7;MFR0000000056;2020-08-31
0;7;MFR0000000057;2020-08-31
0;7;MF00000000415;2020-08-31
0;7;MF00000000416;2020-09-01
1;17;AM00000000186;2020-09-02
0;7;MF00000000417;2020-09-03
2;21;1;2020-09-02
0;7;MF00000000418;2020-09-03
0;7;MF00000000419;2020-09-03
0;7;MF00000000420;2020-09-03
0;7;MF00000000421;2020-09-03
0;7;MF00000000422;2020-09-03
0;7;MF00000000423;2020-09-03
1;17;AM00000000187;2020-09-02
0;7;MF00000000424;2020-09-04
0;7;MF00000000425;2020-09-04
0;7;MF00000000426;2020-09-04
0;7;MF00000000427;2020-09-04
0;7;MF00000000428;2020-09-04
0;7;MF00000000429;2020-09-05
0;7;MF00000000430;2020-09-05
0;7;MF00000000431;2020-09-05
0;7;MF00000000432;2020-09-07
0;7;MF00000000433;2020-09-07
0;7;MFR0000000058;2020-09-04
0;7;MFR0000000059;2020-09-04
0;7;MF00000000434;2020-09-07
0;7;MF00000000435;2020-09-07
0;7;MF00000000436;2020-09-07
0;7;MFR0000000060;2020-09-07
4;44;BD200005;2020-09-07
1;17;AM00000000188;2020-09-07
0;7;MF00000000437;2020-09-08
0;7;MF00000000438;2020-09-08
0;7;MF00000000439;2020-09-08
0;7;MF00000000440;2020-09-08
2;20;4;2020-09-09
0;7;MF00000000441;2020-09-09
0;7;MF00000000442;2020-09-09
0;7;MF00000000443;2020-09-09
0;7;MF00000000444;2020-09-09
0;7;MF00000000445;2020-09-10
1;17;AM00000000189;2020-09-10
0;7;MF00000000446;2020-09-10
0;7;MF00000000447;2020-09-10
0;7;MF00000000448;2020-09-10
0;7;MF00000000449;2020-09-10
0;7;MF00000000450;2020-09-10
0;7;MFR0000000061;2020-09-10
1;17;AM00000000190;2020-09-10
0;7;MF00000000451;2020-09-10
0;7;MF00000000452;2020-09-11
0;7;MF00000000453;2020-09-11
0;7;MF00000000454;2020-09-11
1;17;AM00000000191;2020-09-07
0;7;MFR0000000062;2020-09-09
0;7;MF00000000455;2020-09-09
1;17;AM00000000192;2020-09-10
0;7;MF00000000456;2020-09-12
0;7;MF00000000457;2020-09-12
0;7;MF00000000458;2020-09-12
0;7;MF00000000459;2020-09-12
0;7;MF00000000460;2020-09-12
0;7;MF00000000461;2020-09-12
0;7;MF00000000462;2020-09-12
0;7;MF00000000463;2020-09-14
0;7;MF00000000464;2020-09-14
0;7;MF00000000465;2020-09-14
0;7;MF00000000466;2020-09-12
0;7;MF00000000467;2020-09-14
1;17;AM00000000193;2020-09-10
1;17;AM00000000194;2020-09-15
0;7;MF00000000468;2020-09-15
0;7;MF00000000469;2020-09-15
0;7;MF00000000470;2020-09-15
2;21;7;2020-09-15
4;44;BD200012;2020-08-21
4;44;BD200013;2020-08-22
4;44;BD200014;2020-08-22
4;44;BD200015;2020-08-24
4;44;BD200016;2020-08-25
4;44;BD200018;2020-08-26
4;44;BD200020;2020-08-26
4;44;BD200021;2020-08-26
4;44;BD200023;2020-08-27
4;44;BD200025;2020-08-27
0;7;MF00000000471;2020-09-15
4;44;BD200026;2020-08-27
4;44;BD200027;2020-08-27
4;44;BD200029;2020-08-29
4;44;BD200030;2020-08-31
4;44;BD200031;2020-08-31
4;44;BD200032;2020-09-01
4;44;BD200033;2020-09-01
4;44;BD200034;2020-09-01
4;44;BD200038;2020-09-02
4;44;BD200039;2020-09-03
4;44;BD200040;2020-09-03
4;44;BD200041;2020-09-07
4;44;BD200042;2020-09-07
4;44;BD200043;2020-09-07
4;44;BD200044;2020-09-08
4;44;BD200046;2020-09-15
4;44;BD200047;2020-09-15
4;44;BD200048;2020-09-15
4;44;BD200050;2020-08-26
4;44;BD200051;2020-08-26
4;44;BD200052;2020-08-27
4;44;BD200053;2020-09-02
4;44;BD200054;2020-09-02
4;44;BD200055;2020-09-08
4;44;BD200056;2020-09-09
4;44;BD200057;2020-09-09
1;17;AM00000000195;2020-09-15
0;7;MF00000000472;2020-09-16
1;17;AM00000000196;2020-09-16
1;17;AM00000000197;2020-09-16
0;7;MF00000000473;2020-09-17
0;7;MF00000000474;2020-09-17
0;7;MF00000000475;2020-09-17
0;7;MF00000000476;2020-09-17
0;7;MF00000000477;2020-09-17
